no.	title	genre	content	age
35	요괴대전, 강두식&장부규	스토리, 판타지	하루 아침에 강시가 된 소년 오필립! 난 더 이상 인간이 아닌가요?	15세 이용가
36	결백한 사람은 없다, 서각	스토리, 드라마	15년 전 실종된 아이가 돌아왔다.초능력을 가진 순경의 아동실종 심리 수사극	전체연령가
37	정보전사 202, 이작가	스토리, 액션	간첩 202호! 작전명 한라혈통!관종의 임무를 완수하고 자유를 얻어라.	12세 이용가
38	지구멸망버튼, 박장고&신동구	스토리, 액션	갑자기 생겨난 의문의 빨간 버튼그리고 필사적으로 버튼을 지켜내려는 자들빨간 버튼을 누르면 지구가 멸망한다고!?	12세 이용가
39	하슬라, 까를로스&유상진	스토리, 액션	일곱 번 타인의 삶을 구하면 한 번의 살인이 무죄가 되는 도시 하슬라.처절한 복수를 꿈꾸는 도진. '피의 도시' 하슬라에서 사마리안이 되다.	15세 이용가
40	모락모락 왕세자님, 원해	스토리, 로맨스	온천마을에 찾아온 꽃미남 왕세자일행과신비한 힘을 가진 소녀의 판타지 로맨스	전체연령가
41	중독연구소, 김택기	옴니버스, 드라마	중독 가정에서 자라온 소년, ‘김태림’은 중독 전문병원에 입사를 하게 되면서 자신의 문제를 바라보게 된다.우리 모두의 중독 이야기, 당신은 무엇에 중독이 되어있나요?	전체연령가
42	인간의 온도, 이재익&양세준	스토리, 드라마	형사와 기자 그리고 이상한 소년.일어나선 안 될 사건들.	15세 이용가
43	사소한 냐냐, LICO	에피소드, 일상	움직이는 웹툰 숏애니! 4개월 이후 중성화 수술을 하게 되는 '냐냐'과연 사.소(사이코패스+소시오패스)한 고양이로 거듭나 땅콩을 사수할 수 있을까?!	전체연령가
44	여기 악마가 있어, 맷집왕	스토리, 액션	게임회사의 인사팀에서 일하게 된 1년 차 직장인 조승훈.인간의 모습을 한 악마 상사와 함께 회사를 급성장시키게 되는데…성장의 이면에 있는 악마의 진짜 목표는 무엇이며, 이를 깨달은 인간은 과연 어떤 선택을 하게 될 것인가.	전체연령가
45	물레, 고긱	스토리, 드라마	첫 술자리에서 전과 선언.이거 내 얘기 아니지..?	12세 이용가
